RowNumber,ProductNumber,CoverDate,Title,Url,Version,PublicationDate
3408,"LSB10129","5/8/2018","United States Off the Hook for Vacated Terror Judgment against Libya","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10129/LSB10129.pdf/","2","05/08/2018"
3409,"IF10879","5/7/2018","The U.S. Geological Survey: FY2019 Appropriations and Background","https://crsreports.congress.gov/product/pdf/download/IF/IF10879/IF10879.pdf/","2","05/07/2018"
3410,"R44293","5/4/2018","College and University Endowments: Overview and Tax Policy Options","https://crsreports.congress.gov/product/pdf/download/R/R44293/R44293.pdf/","5","12/02/2015"
3411,"LSB10130","5/4/2018","Compelling Presidential Compliance with a Judicial Subpoena ","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10130/LSB10130.pdf/","2","05/09/2018"
3412,"R43888","5/4/2018","Cuba Sanctions: Legislative Restrictions Limiting the Normalization of Relations","https://crsreports.congress.gov/product/pdf/download/R/R43888/R43888.pdf/","18","01/30/2015"
3413,"IF10878","5/4/2018","U.S. LNG Trade Rising, But No Domestic Shipping","https://crsreports.congress.gov/product/pdf/download/IF/IF10878/IF10878.pdf/","2","05/07/2018"
3414,"R44761","5/4/2018","Withdrawal from International Agreements: Legal Framework, the Paris Agreement, and the Iran Nuclear Agreement","https://crsreports.congress.gov/product/pdf/download/R/R44761/R44761.pdf/","7","02/09/2017"
3415,"R44882","5/3/2018","Commerce, Justice, Science and Related Agencies (CJS) FY2018 Appropriations: Trade-Related Agencies ","https://crsreports.congress.gov/product/pdf/download/R/R44882/R44882.pdf/","6","07/03/2017"
3416,"R45188","5/3/2018","High Intensity Drug Trafficking Areas (HIDTA) Program","https://crsreports.congress.gov/product/pdf/download/R/R45188/R45188.pdf/","7","05/01/2018"
3417,"IF10621","5/3/2018","Key Issues in FAA Reauthorization in the 115th Congress","https://crsreports.congress.gov/product/pdf/download/IF/IF10621/IF10621.pdf/","7","03/24/2017"
