Title,source,source link,link,link date,downloaded on,download success,file name,file path
Tyndall PMO awards $15 million in AFWERX Base of the Future contracts ,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2366958/tyndall-pmo-awards-15-million-in-afwerx-base-of-the-future-contracts/,2021-01-29 14:10,2021-01-29 21:25,True,Tyndall PMO awards $15 million in AFWERX Base of the Future contracts .pdf,documents/parsed_text/AF_afcec/AF_afcec/Tyndall PMO awards $15 million in AFWERX Base of the Future contracts .pdf
"AFIMSC council focuses on improving diversity, inclusion",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2367702/afimsc-council-focuses-on-improving-diversity-inclusion/,2021-01-29 14:10,2021-01-29 21:25,True,"AFIMSC council focuses on improving diversity, inclusion.pdf","documents/parsed_text/AF_afcec/AF_afcec/AFIMSC council focuses on improving diversity, inclusion.pdf"
AFCEC space optimization efforts key to rightsizing facilities at installations,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2364767/afcec-space-optimization-efforts-key-to-rightsizing-facilities-at-installations/,2021-01-29 14:10,2021-01-29 21:25,True,AFCEC space optimization efforts key to rightsizing facilities at installations.pdf,documents/parsed_text/AF_afcec/AF_afcec/AFCEC space optimization efforts key to rightsizing facilities at installations.pdf
Air Force partnership helps rare woodpecker thrive,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2364759/air-force-partnership-helps-rare-woodpecker-thrive/,2021-01-29 14:10,2021-01-29 21:25,True,Air Force partnership helps rare woodpecker thrive.pdf,documents/parsed_text/AF_afcec/AF_afcec/Air Force partnership helps rare woodpecker thrive.pdf
AFCEC’s APE team continues to certify essential evaluators despite COVID-19 restrictions,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2363455/afcecs-ape-team-continues-to-certify-essential-evaluators-despite-covid-19-rest/,2021-01-29 14:10,2021-01-29 21:25,True,AFCEC’s APE team continues to certify essential evaluators despite COVID-19 restrictions.pdf,documents/parsed_text/AF_afcec/AF_afcec/AFCEC’s APE team continues to certify essential evaluators despite COVID-19 restrictions.pdf
Air Force awards contract for munitions storage facilities at Andersen AFB,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2363254/air-force-awards-contract-for-munitions-storage-facilities-at-andersen-afb/,2021-01-29 14:10,2021-01-29 21:26,True,Air Force awards contract for munitions storage facilities at Andersen AFB.pdf,documents/parsed_text/AF_afcec/AF_afcec/Air Force awards contract for munitions storage facilities at Andersen AFB.pdf
Air Force awards multiple contracts for airfield construction at NAS Keflavik,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2356995/air-force-awards-multiple-contracts-for-airfield-construction-at-nas-keflavik/,2021-01-29 14:10,2021-01-29 21:26,True,Air Force awards multiple contracts for airfield construction at NAS Keflavik.pdf,documents/parsed_text/AF_afcec/AF_afcec/Air Force awards multiple contracts for airfield construction at NAS Keflavik.pdf
"Tyndall PMO, AFCEC awards first-ever Other Transactional Authority as IROC prototype ",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2350787/tyndall-pmo-afcec-awards-first-ever-other-transactional-authority-as-iroc-proto/,2021-01-29 14:10,2021-01-29 21:26,True,"Tyndall PMO, AFCEC awards first-ever Other Transactional Authority as IROC prototype .pdf","documents/parsed_text/AF_afcec/AF_afcec/Tyndall PMO, AFCEC awards first-ever Other Transactional Authority as IROC prototype .pdf"
AFCEC helps Air Force transition to the next generation KC-46A tanker,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2347555/afcec-helps-air-force-transition-to-the-next-generation-kc-46a-tanker/,2021-01-29 14:10,2021-01-29 21:26,True,AFCEC helps Air Force transition to the next generation KC-46A tanker.pdf,documents/parsed_text/AF_afcec/AF_afcec/AFCEC helps Air Force transition to the next generation KC-46A tanker.pdf
DAF Spouse Leaders discuss the New Ops Normal for Families,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2347562/daf-spouse-leaders-discuss-the-new-ops-normal-for-families/,2021-01-29 14:10,2021-01-29 21:26,True,DAF Spouse Leaders discuss the New Ops Normal for Families.pdf,documents/parsed_text/AF_afcec/AF_afcec/DAF Spouse Leaders discuss the New Ops Normal for Families.pdf
"SECAF recognizes past, looks forward to future at Air, Space, Cyber Conference",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2347684/secaf-recognizes-past-looks-forward-to-future-at-air-space-cyber-conference/,2021-01-29 14:10,2021-01-29 21:26,True,"SECAF recognizes past, looks forward to future at Air, Space, Cyber Conference.pdf","documents/parsed_text/AF_afcec/AF_afcec/SECAF recognizes past, looks forward to future at Air, Space, Cyber Conference.pdf"
Social Security payroll tax deferral begins for DOD employees,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2343549/social-security-payroll-tax-deferral-begins-for-dod-employees/,2021-01-29 14:10,2021-01-29 21:26,True,Social Security payroll tax deferral begins for DOD employees.pdf,documents/parsed_text/AF_afcec/AF_afcec/Social Security payroll tax deferral begins for DOD employees.pdf
Tyndall PMO seeks virtual operations prototype in upcoming pitch day,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2343505/tyndall-pmo-seeks-virtual-operations-prototype-in-upcoming-pitch-day/,2021-01-29 14:10,2021-01-29 21:26,True,Tyndall PMO seeks virtual operations prototype in upcoming pitch day.pdf,documents/parsed_text/AF_afcec/AF_afcec/Tyndall PMO seeks virtual operations prototype in upcoming pitch day.pdf
