Title,source,source link,link,link date
"AF technology could help fight virus, disease spread in buildings",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2305024/af-technology-could-help-fight-virus-disease-spread-in-buildings/,2021-01-29 14:10
Air Force begins field work to investigate PFAS at former Reese AFB,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2294213/air-force-begins-field-work-to-investigate-pfas-at-former-reese-afb/,2021-01-29 14:10
AFCEC continues building on AFCAMP successes,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2299081/afcec-continues-building-on-afcamp-successes/,2021-01-29 14:10
Air Force environmental programs help endangered species thrive,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2291386/air-force-environmental-programs-help-endangered-species-thrive/,2021-01-29 14:10
Yokota CBRN training adapts to pandemic constraints,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2299085/yokota-cbrn-training-adapts-to-pandemic-constraints/,2021-01-29 14:10
Wildland Fire pros battle fire season despite COVID-19,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2279888/wildland-fire-pros-battle-fire-season-despite-covid-19/,2021-01-29 14:10
Allen becomes AFCEC's first active-duty director,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2279618/allen-becomes-afcecs-first-active-duty-director/,2021-01-29 14:10
Federal employee survey helps civilians' voice be heard,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2267331/federal-employee-survey-helps-civilians-voice-be-heard/,2021-01-29 14:10
General Engineer,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2267336/general-engineer/,2021-01-29 14:10
Supervisory General Engineer,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2267339/supervisory-general-engineer/,2021-01-29 14:10
"DOD, Base Officials Closely Monitoring COVID-19 Situation",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2267328/dod-base-officials-closely-monitoring-covid-19-situation/,2021-01-29 14:10
AFCEC leads hurricane season preparedness,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2245487/afcec-leads-hurricane-season-preparedness/,2021-01-29 14:10
